name,type,set_name,set_code,set_rarity
A Hero Emerges,Trap Card,Duel Terminal 2,DT02-EN048,Duel Terminal Normal Parallel Rare (DNPR)
A Hero Emerges,Trap Card,Duelist Pack: Jaden Yuki,DP1-EN025,Common (C)
A Hero Emerges,Trap Card,Invasion of Chaos,IOC-104,Common (C)
A Hero Emerges,Trap Card,Invasion of Chaos,IOC-EN104,Common (C)
A Hero Emerges,Trap Card,Super Starter: Space-Time Showdown,YS14-EN036,Common (C)
A Hero Lives,Spell Card,Duelist Saga,DUSA-EN087,Ultra Rare (UR)
A Hero Lives,Spell Card,Generation Force,GENF-EN098,Ultimate Rare (UtR)
A Hero Lives,Spell Card,Generation Force,GENF-EN098,Ultra Rare (UR)
A Hero Lives,Spell Card,HERO Strike Structure Deck,SDHS-EN026,Common (C)
A Hero Lives,Spell Card,Legendary Duelists: Magical Hero,LED6-EN022,Common (C)
A Legendary Ocean,Spell Card,Dark Beginning 2,DB2-EN187,Common (C)
A Legendary Ocean,Spell Card,Hobby League 1 participation cards B,HL1-EN003,Common (C)
A Legendary Ocean,Spell Card,Legacy of Darkness,LOD-078,Common (C)
A Legendary Ocean,Spell Card,Legacy of Darkness,LOD-EN078,Common (C)
A Legendary Ocean,Spell Card,Legendary Duelists,LEDU-EN021,Common (C)
A Legendary Ocean,Spell Card,Legendary Duelists: Season 1,LDS1-EN029,Common (C)
A Legendary Ocean,Spell Card,Realm of the Sea Emperor Structure Deck,SDRE-EN024,Common (C)
A Legendary Ocean,Spell Card,Retro Pack 2,RP02-EN062,Common (C)
A Legendary Ocean,Spell Card,Structure Deck: Fury from the Deep,SD4-EN020,Common (C)
A Major Upset,Trap Card,Ancient Prophecy,ANPR-EN080,Short Print (SP)
A Major Upset,Trap Card,Speed Duel: Scars of Battle,SBSC-EN045,Common (C)
A Man with Wdjat,Effect Monster,Dark Revelation Volume 1,DR1-EN016,Common (C)
A Man with Wdjat,Effect Monster,Pharaonic Guardian,PGD-068,Common (C)
A Rival Appears!,Trap Card,Cybernetic Revolution,CRV-EN054,Common (C)
A Rival Appears!,Trap Card,Dark Revelation Volume 4,DR04-EN054,Common (C)
A Wild Monster Appears!,Spell Card,2015 Mega-Tin Mega Pack,MP15-EN234,Secret Rare (ScR)
A Wild Monster Appears!,Spell Card,Legendary Duelists: Rage of Ra,LED7-EN052,Rare (R)
A Wild Monster Appears!,Spell Card,Secrets of Eternity,SECE-EN064,Secret Rare (ScR)
A Wingbeat of Giant Dragon,Spell Card,Dark Beginning 2,DB2-EN159,Common (C)
A Wingbeat of Giant Dragon,Spell Card,Dragons Collide Structure Deck,SDDC-EN028,Common (C)
A Wingbeat of Giant Dragon,Spell Card,Legacy of Darkness,LOD-044,Common (C)
A Wingbeat of Giant Dragon,Spell Card,Legacy of Darkness,LOD-EN044,Common (C)
A Wingbeat of Giant Dragon,Spell Card,Rise of the Dragon Lords Structure Deck,SDRL-EN025,Common (C)
A Wingbeat of Giant Dragon,Spell Card,Rise of the True Dragons Structure Deck,SR02-EN027,Common (C)
A Wingbeat of Giant Dragon,Spell Card,Saga of Blue-Eyes White Dragon Structure Deck,SDBE-EN023,Common (C)
A-Assault Core,Union Effect Monster,Legendary Collection Kaiba Mega Pack,LCKC-EN019,Secret Rare (ScR)
A-Assault Core,Union Effect Monster,Structure Deck: Seto Kaiba,SDKS-EN001,Super Rare (SR)
A-Team: Trap Disposal Unit,Effect Monster,Dark Revelation Volume 3,DR3-EN093,Rare (R)
A-Team: Trap Disposal Unit,Effect Monster,Rise of Destiny,RDS-EN033,Rare (R)
A-Team: Trap Disposal Unit,Effect Monster,Rise of Destiny,RDS-EN033,Ultimate Rare (UtR)
A-to-Z-Dragon Buster Cannon,Fusion Monster,Structure Deck: Seto Kaiba,SDKS-EN040,Ultra Rare (UR)
A.I. Contact,Spell Card,Eternity Code,ETCO-EN056,Super Rare (SR)
A.I. Love Fusion,Spell Card,Ignition Assault,IGAS-EN053,Rare (R)
A.I. Shadow,Trap Card,Ignition Assault,IGAS-EN069,Common (C)
A.I.'s Ritual,Spell Card,Ignition Assault,IGAS-EN054,Common (C)
A.I.'s Ritual,Spell Card,Ignition Assault,IGAS-EN054,Common (C)
A.I.dle Reborn,Spell Card,Ignition Assault,IGAS-EN052,Rare (R)
A.I.Q,Trap Card,Eternity Code,ETCO-EN073,Common (C)
A/D Changer,Effect Monster,Duelist Pack: Yusei 3,DP10-EN010,Common (C)
A/D Changer,Effect Monster,Duelist Revolution,DREV-EN005,Common (C)
A/D Changer,Effect Monster,War of the Giants Reinforcements,WGRT-EN032,Common (C)
A/D Changer,Effect Monster,War of the Giants: Round 2,BPW2-EN032,Common (C)
Abaki,Effect Monster,Cyberdark Impact,CDIP-EN013,Common (C)
Abaki,Effect Monster,Starter Deck: Syrus Truesdale,YSDS-EN020,Common (C)
Abare Ushioni,Effect Monster,Dark Revelation Volume 3,DR3-EN146,Common (C)
Abare Ushioni,Effect Monster,Flaming Eternity,FET-EN026,Common (C)
ABC-Dragon Buster,Fusion Monster,Legendary Collection Kaiba Mega Pack,LCKC-EN059,Secret Rare (ScR)
ABC-Dragon Buster,Fusion Monster,OTS Tournament Pack 13,OP13-EN006,Super Rare (SR)
ABC-Dragon Buster,Fusion Monster,OTS Tournament Pack 13 (POR),OP13-PT006,Super Rare (SR)
ABC-Dragon Buster,Fusion Monster,Structure Deck: Seto Kaiba,SDKS-EN041,Ultra Rare (UR)
Abominable Chamber of the Unchained,Trap Card,2020 Tin of Lost Memories Mega Pack,MP20-EN192,Common (C)
Abominable Chamber of the Unchained,Trap Card,Chaos Impact,CHIM-EN070,Common (C)
Abominable Unchained Soul,Effect Monster,Ignition Assault,IGAS-EN019,Super Rare (SR)
Abomination's Prison,Spell Card,2020 Tin of Lost Memories Mega Pack,MP20-EN182,Ultra Rare (UR)
Abomination's Prison,Spell Card,Chaos Impact,CHIM-EN054,Secret Rare (ScR)
Absolute Crusader,Effect Monster,Generation Force,GENF-EN036,Super Rare (SR)
Absolute Crusader,Effect Monster,Legendary Dragon Decks,LEDD-ENA13,Common (C)
Absolute End,Trap Card,Dark Revelation Volume 3,DR3-EN050,Common (C)
Absolute End,Trap Card,Soul of the Duelist,SOD-EN050,Short Print (SP)
Absolute King Back Jack,Effect Monster,Premium Gold: Return of the Bling,PGL2-EN002,Gold Secret Rare (GScR)
Absolute King Back Jack,Effect Monster,Structure Deck: Lair of Darkness,SR06-EN020,Common (C)
Absorb Fusion,Spell Card,Clash of Rebellions,CORE-EN092,Ultra Rare (UR)
Absorbing Jar,Flip Effect Monster,Galactic Overlord,GAOV-EN037,Rare (R)
Absorbing Kid from the Sky,Effect Monster,Ancient Sanctuary,AST-072,Common (C)
Absorbing Kid from the Sky,Effect Monster,Dark Revelation Volume 2,DR2-EN185,Common (C)
Absorouter Dragon,Effect Monster,Structure Deck: Rokket Revolt,SDRR-EN005,Super Rare (SR)
Abyss Actor - Comic Relief,Pendulum Effect Monster,Legendary Duelists: White Dragon Abyss,LED3-EN046,Rare (R)
Abyss Actor - Curtain Raiser,Pendulum Effect Monster,Battles of Legend: Light's Revenge,BLLR-EN012,Ultra Rare (UR)
Abyss Actor - Evil Heel,Pendulum Effect Monster,Destiny Soldiers,DESO-EN016,Secret Rare (ScR)
Abyss Actor - Extras,Pendulum Effect Monster,Destiny Soldiers,DESO-EN020,Super Rare (SR)
Abyss Actor - Funky Comedian,Pendulum Effect Monster,Destiny Soldiers,DESO-EN017,Super Rare (SR)
Abyss Actor - Hyper Director,Link Monster,Duel Overload,DUOV-EN022,Ultra Rare (UR)
Abyss Actor - Leading Lady,Pendulum Effect Monster,Destiny Soldiers,DESO-EN021,Secret Rare (ScR)
Abyss Actor - Leading Lady,Pendulum Effect Monster,Legendary Duelists: White Dragon Abyss,LED3-EN051,Common (C)
Abyss Actor - Mellow Madonna,Pendulum Effect Monster,Legendary Duelists: White Dragon Abyss,LED3-EN045,Super Rare (SR)
Abyss Actor - Sassy Rookie,Pendulum Effect Monster,Destiny Soldiers,DESO-EN019,Super Rare (SR)
Abyss Actor - Superstar,Pendulum Effect Monster,Destiny Soldiers,DESO-EN018,Secret Rare (ScR)
Abyss Actor - Superstar,Pendulum Effect Monster,Legendary Duelists: White Dragon Abyss,LED3-EN050,Common (C)
Abyss Actor - Trendy Understudy,Pendulum Effect Monster,2018 Mega-Tin Mega Pack,MP18-EN101,Common (C)
Abyss Actor - Trendy Understudy,Pendulum Effect Monster,Code of the Duelist,COTD-EN097,Common (C)
Abyss Actor - Trendy Understudy,Pendulum Effect Monster,Legendary Duelists: White Dragon Abyss,LED3-EN052,Common (C)
Abyss Actor - Twinkle Little Star,Pendulum Effect Monster,Rise of the Duelist,ROTD-EN081,Common (C)
Abyss Actor - Wild Hope,Pendulum Effect Monster,Destiny Soldiers,DESO-EN022,Secret Rare (ScR)
Abyss Actors Back Stage,Trap Card,Destiny Soldiers,DESO-EN028,Super Rare (SR)
Abyss Actors Back Stage,Trap Card,Legendary Duelists: White Dragon Abyss,LED3-EN055,Common (C)
Abyss Actors' Curtain Call,Trap Card,Legendary Duelists: White Dragon Abyss,LED3-EN049,Common (C)
Abyss Dweller,XYZ Monster,Abyss Rising,ABYR-EN084,Super Rare (SR)
Abyss Dweller,XYZ Monster,Duel Devastator,DUDE-EN016,Ultra Rare (UR)
Abyss Dweller,XYZ Monster,OTS Tournament Pack 13,OP13-EN002,Ultimate Rare (UtR)
Abyss Dweller,XYZ Monster,OTS Tournament Pack 13 (POR),OP13-PT002,Ultimate Rare (UtR)
Abyss Dweller,XYZ Monster,Premium Gold: Infinite Gold,PGL3-EN068,Gold Rare (GUR)
Abyss Dweller,XYZ Monster,The Secret Forces,THSF-EN047,Super Rare (SR)
Abyss Flower,Normal Monster,,,
Abyss Playhouse - Fantastic Theater,Spell Card,Legendary Duelists: White Dragon Abyss,LED3-EN048,Rare (R)
Abyss Prop - Wild Wagon,Spell Card,Destiny Soldiers,DESO-EN026,Super Rare (SR)
Abyss Script - Abysstainment,Spell Card,Battles of Legend: Light's Revenge,BLLR-EN013,Ultra Rare (UR)
Abyss Script - Fantasy Magic,Spell Card,Destiny Soldiers,DESO-EN023,Super Rare (SR)
Abyss Script - Fire Dragon's Lair,Spell Card,Destiny Soldiers,DESO-EN025,Super Rare (SR)
Abyss Script - Opening Ceremony,Spell Card,Destiny Soldiers,DESO-EN024,Super Rare (SR)
Abyss Script - Opening Ceremony,Spell Card,Legendary Duelists: White Dragon Abyss,LED3-EN053,Common (C)
Abyss Script - Rise of the Abyss King,Spell Card,Destiny Soldiers,DESO-EN027,Secret Rare (ScR)
Abyss Script - Rise of the Abyss King,Spell Card,Legendary Duelists: White Dragon Abyss,LED3-EN054,Common (C)
Abyss Script - Romantic Terror,Spell Card,Legendary Duelists: White Dragon Abyss,LED3-EN047,Rare (R)
Abyss Soldier,Effect Monster,Champion Pack: Game Two,CP02-EN007,Rare (R)
Abyss Soldier,Effect Monster,Duel Terminal 6b,DT06-EN065,Duel Terminal Normal Parallel (DNPR)
Abyss Soldier,Effect Monster,Duel Terminal 6b,DT06-EN065,Duel Terminal Normal Parallel Rare (DNPR)
Abyss Soldier,Effect Monster,Realm of the Sea Emperor Structure Deck,SDRE-EN014,Common (C)
Abyss Soldier,Effect Monster,Yu-Gi-Oh! Capsule Monster Coliseum promotional cards,CMC-EN001,Super Rare (SR)
Abyss Stungray,Trap Card,2016 Mega-Tin Mega Pack,MP16-EN036,Common (C)
Abyss Stungray,Trap Card,Crossed Souls,CROS-EN077,Common (C)
Abyss Warrior,Effect Monster,Abyss Rising,ABYR-EN028,Common (C)
Abyss-scale of Cetus,Spell Card,Cosmo Blazer,CBLZ-EN061,Common (C)
Abyss-scale of the Kraken,Spell Card,Abyss Rising,ABYR-EN056,Common (C)
Abyss-scale of the Mizuchi,Spell Card,2014 Mega-Tin Mega Pack,MP14-EN040,Common (C)
Abyss-scale of the Mizuchi,Spell Card,Lord of the Tachyon Galaxy,LTGY-EN064,Common (C)
Abyss-scorn,Trap Card,Cosmo Blazer,CBLZ-EN075,Common (C)
Abyss-sphere,Trap Card,Abyss Rising,ABYR-EN072,Ultimate Rare (UtR)
Abyss-sphere,Trap Card,Abyss Rising,ABYR-EN072,Ultra Rare (UR)
Abyss-squall,Trap Card,Abyss Rising,ABYR-EN071,Super Rare (SR)
Abyss-strom,Trap Card,Abyss Rising,ABYR-EN073,Rare (R)
Abyssal Designator,Spell Card,Dark Revelation Volume 3,DR3-EN040,Common (C)
Abyssal Designator,Spell Card,Soul of the Duelist,SOD-EN040,Short Print (SP)
Abyssal Kingshark,Effect Monster,Battle Pack: Epic Dawn,BP01-EN155,Common (C)
Abyssal Kingshark,Effect Monster,Battle Pack: Epic Dawn,BP01-EN155,Starfoil Rare (SFR)
Abyssal Kingshark,Effect Monster,Tactical Evolution,TAEV-EN084,Secret Rare (ScR)
Abyssal Kingshark,Effect Monster,Turbo Pack: Booster Five,TU05-EN013,Common (C)
Accel Synchron,Synchro Tuner Monster,Legendary Duelists: Magical Hero,LED6-EN028,Common (C)
Accel Synchron,Synchro Tuner Monster,Synchron Extreme Structure Deck,SDSE-EN042,Super Rare (SR)
Accellight,Spell Card,Legendary Duelists: White Dragon Abyss,LED3-EN044,Common (C)
Accellight,Spell Card,Zexal Collection Tin,ZTIN-EN016,Ultra Rare (UR)
Accesscode Talker,Link Monster,Eternity Code,ETCO-EN046,Secret Rare (ScR)
Accumulated Fortune,Trap Card,Cyberdark Impact,CDIP-EN057,Common (C)
Achacha Archer,Effect Monster,Generation Force,GENF-EN003,Common (C)
Achacha Archer,Effect Monster,Star Pack 2013,SP13-EN004,Common (C)
Achacha Archer,Effect Monster,Star Pack 2013,SP13-EN004,Starfoil Rare (SFR)
Achacha Archer,Effect Monster,Super Starter: V for Victory,YS13-EN014,Common (C)
Achacha Chanbara,Effect Monster,Abyss Rising,ABYR-EN003,Common (C)
Achichi @Ignister,Effect Monster,Ignition Assault,IGAS-EN004,Secret Rare (ScR)
Acid Crawler,Normal Monster,,,
Acid Rain,Spell Card,Duel Terminal 2,DT02-EN037,Duel Terminal Normal Parallel (DNPR)
Acid Rain,Spell Card,Duel Terminal 2,DT02-EN037,Duel Terminal Normal Parallel Rare (DNPR)
Acid Rain,Spell Card,Duelist League Series 8 participation card,DL8-EN001,Super Rare (SR)
Acid Trap Hole,Trap Card,Legendary Collection 3: Yugi's World Mega Pack,LCYW-EN283,Rare (R)
Acid Trap Hole,Trap Card,Millennium Pack,MIL1-EN044,Rare (R)
Acid Trap Hole,Trap Card,Shadow of Infinity: Special Edition,SOI-ENSE1,Secret Rare (ScR)
Acid Trap Hole,Trap Card,Shadow of Infinity: Special Edition,SOI-ENSE1,Ultra Rare (UR)
Acid Trap Hole,Trap Card,Structure Deck: Marik (TCG),SDMA-EN029,Common (C)
Acid Trap Hole,Trap Card,Yu-Gi-Oh! Dark Duel Stories promotional cards,DDS-005,Prismatic Secret Rare (PScR)
Acid Trap Hole,Trap Card,Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel promotional cards,SDD-E002,Prismatic Secret Rare (PScR)
Acidic Downpour,Spell Card,Phantom Darkness,PTDN-EN058,Common (C)
Acorno,Effect Monster,Photon Shockwave,PHSW-EN006,Common (C)
Acrobat Monkey,Normal Monster,Dark Crisis,DCR-003,Common (C)
Acrobat Monkey,Normal Monster,Dark Crisis,DCR-EN003,Common (C)
Acrobat Monkey,Normal Monster,Dark Revelation Volume 1,DR1-EN165,Common (C)
Acrobat Monkey,Normal Monster,Starter Deck: Syrus Truesdale,YSDS-EN004,Common (C)
Acrobatic Magician,Pendulum Effect Monster,The Dark Illusion,TDIL-EN009,Rare (R)
Action Magic - Double Banking,Spell Card,Chaos Impact,CHIM-EN094,Common (C)
Action Magic - Full Turn,Spell Card,Chaos Impact,CHIM-EN093,Common (C)
Adamancipator Analyzer,Tuner Monster,Secret Slayers,SESL-EN003,Secret Rare (ScR)
Adamancipator Crystal - Dragite,Effect Monster,Secret Slayers,SESL-EN006,Super Rare (SR)
Adamancipator Crystal - Leonite,Effect Monster,Secret Slayers,SESL-EN004,Super Rare (SR)
Adamancipator Crystal - Raptite,Effect Monster,Secret Slayers,SESL-EN005,Super Rare (SR)
Adamancipator Friends,Spell Card,Rise of the Duelist,ROTD-EN061,Secret Rare (ScR)
Adamancipator Laputite,Spell Card,Secret Slayers,SESL-EN010,Super Rare (SR)
Adamancipator Relief,Trap Card,Secret Slayers,SESL-EN012,Secret Rare (ScR)
Adamancipator Researcher,Tuner Monster,Secret Slayers,SESL-EN002,Secret Rare (ScR)
Adamancipator Resonance,Trap Card,Secret Slayers,SESL-EN013,Super Rare (SR)
Adamancipator Risen - Dragite,Synchro Monster,Secret Slayers,SESL-EN009,Secret Rare (ScR)
Adamancipator Risen - Leonite,Synchro Monster,Secret Slayers,SESL-EN007,Secret Rare (ScR)
Adamancipator Risen - Raptite,Synchro Monster,Secret Slayers,SESL-EN008,Super Rare (SR)
Adamancipator Seeker,Tuner Monster,Secret Slayers,SESL-EN001,Secret Rare (ScR)
Adamancipator Signs,Spell Card,Secret Slayers,SESL-EN011,Super Rare (SR)
Adhesion Trap Hole,Trap Card,Dark Revelation Volume 1,DR1-EN105,Common (C)
Adhesion Trap Hole,Trap Card,Duel Terminal 1,DT01-EN098,Duel Terminal Normal Parallel (DNPR)
Adhesion Trap Hole,Trap Card,Duel Terminal 1,DT01-EN098,Duel Terminal Normal Parallel Rare (DNPR)
Adhesion Trap Hole,Trap Card,Legendary Collection 4: Joey's World Mega Pack,LCJW-EN274,Common (C)
Adhesion Trap Hole,Trap Card,Magician's Force,MFC-050,Common (C)
Adhesion Trap Hole,Trap Card,Speed Duel Starter Decks: Ultimate Predators,SS03-ENB28,Common (C)
Adhesion Trap Hole,Trap Card,Speed Duel Tournament Pack 2,STP2-EN018,Super Rare (SR)
Adhesion Trap Hole,Trap Card,War of the Giants Reinforcements,WGRT-EN083,Super Rare (SR)
Adhesion Trap Hole,Trap Card,War of the Giants: Round 2,BPW2-EN083,Super Rare (SR)
Adhesive Explosive,Effect Monster,Dark Revelation Volume 4,DR04-EN131,Common (C)
Adhesive Explosive,Effect Monster,Shadow of Infinity,SOI-EN011,Rare (R)
Adhesive Explosive,Effect Monster,Shadow of Infinity,SOI-EN011,Ultimate Rare (UtR)
Adhesive Explosive,Effect Monster,War of the Giants Reinforcements,WGRT-EN015,Super Rare (SR)
Adhesive Explosive,Effect Monster,War of the Giants: Round 2,BPW2-EN015,Super Rare (SR)
"Adreus, Keeper of Armageddon",XYZ Monster,Battle Pack: Epic Dawn,BP01-EN030,Rare (R)
"Adreus, Keeper of Armageddon",XYZ Monster,Battle Pack: Epic Dawn,BP01-EN030,Starfoil Rare (SFR)
"Adreus, Keeper of Armageddon",XYZ Monster,Generation Force,GENF-EN086,Secret Rare (ScR)
Advance Draw,Spell Card,Ancient Prophecy,ANPR-EN047,Common (C)
Advance Draw,Spell Card,Destiny Soldiers,DESO-EN056,Super Rare (SR)
Advance Draw,Spell Card,Duelist Pack Collection Tin 2010,DPCT-ENY06,Super Rare (SR)
Advance Draw,Spell Card,Duelist Pack: Yusei 2,DP09-EN021,Common (C)
Advance Draw,Spell Card,Legendary Collection 5D's Mega Pack,LC5D-EN047,Ultra Rare (UR)
Advance Force,Spell Card,Absolute Powerforce,ABPF-EN048,Common (C)
Advance Zone,Spell Card,OTS Tournament Pack 1,OP01-EN027,Common (C)
Advance Zone,Spell Card,Return of the Duelist,REDU-EN088,Secret Rare (ScR)
Advanced Dark,Spell Card,Legendary Duelists: Season 1,LDS1-EN109,Common (C)
Advanced Dark,Spell Card,Return of the Duelist,REDU-EN094,Secret Rare (ScR)
Advanced Dark,Spell Card,Shadows in Valhalla,SHVA-EN056,Super Rare (SR)
Advanced Heraldry Art,Spell Card,Abyss Rising,ABYR-EN055,Rare (R)
Advanced Ritual Art,Spell Card,Astral Pack Five,AP05-EN010,Super Rare (SR)
Advanced Ritual Art,Spell Card,Duel Terminal 6a,DT06-EN042,Duel Terminal Normal Parallel (DNPR)
Advanced Ritual Art,Spell Card,Duel Terminal 6a,DT06-EN042,Duel Terminal Normal Parallel Rare (DNPR)
Advanced Ritual Art,Spell Card,Duelist Saga,DUSA-EN063,Ultra Rare (UR)
Advanced Ritual Art,Spell Card,Premium Gold: Return of the Bling,PGL2-EN050,Gold Rare (GUR)
Advanced Ritual Art,Spell Card,Speed Duel Starter Decks: Match of the Millennium,SS04-ENV01,Ultra Rare (UR)
Advanced Ritual Art,Spell Card,Strike of Neos,STON-EN045,Common (C)
Advanced Ritual Art,Spell Card,The Secret Forces,THSF-EN052,Super Rare (SR)
Advanced Ritual Art,Spell Card,Turbo Pack: Booster Four,TU04-EN009,Rare (R)
Aegaion the Sea Castrum,XYZ Monster,2016 Mega-Tin Mega Pack,MP16-EN213,Common (C)
Aegaion the Sea Castrum,XYZ Monster,Breakers of Shadow,BOSH-EN055,Common (C)
Aegis of Gaia,Trap Card,Gold Series 3,GLD3-EN050,Common (C)
Aegis of Gaia,Trap Card,Strike of Neos,STON-EN068,Secret Rare (ScR)
Aegis of the Ocean Dragon Lord,Trap Card,Ancient Prophecy,ANPR-EN076,Common (C)
Aegis of the Ocean Dragon Lord,Trap Card,Realm of the Sea Emperor Structure Deck,SDRE-EN033,Common (C)
Aerial Recharge,Trap Card,2014 Mega-Tin Mega Pack,MP14-EN048,Common (C)
Aerial Recharge,Trap Card,Lord of the Tachyon Galaxy,LTGY-EN073,Common (C)
"Aether, the Empowering Dragon",Effect Monster,Demo Deck 2016,DEM3-EN008,Common (C)
"Aether, the Empowering Dragon",Effect Monster,Super Starter: Space-Time Showdown,YS14-EN011,Common (C)
"Aether, the Evil Empowering Dragon",Pendulum Effect Monster,2016 Mega-Tins,CT13-EN011,Super Rare (SR)
After the Storm,Spell Card,Cosmo Blazer,CBLZ-EN066,Common (C)
After The Struggle,Spell Card,Dark Beginning 2,DB2-EN195,Common (C)
After The Struggle,Spell Card,Legacy of Darkness,LOD-086,Rare (R)
After The Struggle,Spell Card,Legacy of Darkness,LOD-EN086,Rare (R)
Afterglow,Spell Card,Battles of Legend: Armageddon,BLAR-EN017,Ultra Rare (UR)
Against the Wind,Spell Card,Duelist Pack: Crow,DP11-EN018,Common (C)
Against the Wind,Spell Card,Raging Battle,RGBT-EN050,Rare (R)
Agave Dragon,Link Monster,2019 Gold Sarcophagus Tin Mega Pack,MP19-EN191,Common (C)
Agave Dragon,Link Monster,Soul Fusion,SOFU-EN048,Common (C)
Agido,Effect Monster,Dark Crisis,DCR-080,Common (C)
